index,title,type,release_year,age_certification,runtime,imdb_score,imdb_votes
101,Forrest Gump,MOVIE,1994,PG-13,142,8.8,1994599
102,Happy Gilmore,MOVIE,1996,PG-13,92,7,217534
103,One Piece,SHOW,1999,TV-14,23,8.8,112586
104,Saving Private Ryan,MOVIE,1998,R,169,8.6,1346020
105,Cowboy Bebop,SHOW,1998,TV-14,25,8.9,112887
106,Star Trek: Deep Space Nine,SHOW,1993,TV-PG,47,8.1,61145
107,The Challenge,SHOW,1998,TV-14,40,7.8,3274
108,Gattaca,MOVIE,1997,PG-13,106,7.8,298168
109,Gilmore Girls,SHOW,2000,TV-14,46,8.2,119054
110,Blade,MOVIE,1998,R,120,7.1,267181
111,You've Got Mail,MOVIE,1998,PG,119,6.7,209258
112,Starship Troopers,MOVIE,1997,R,129,7.3,288960
113,Neon Genesis Evangelion,SHOW,1995,TV-14,24,8.5,64727
114,The Magic School Bus,SHOW,1994,TV-Y,26,7.8,9708
115,Donnie Brasco,MOVIE,1997,R,127,7.7,300073
116,Power Rangers,SHOW,1993,TV-Y7,22,6.5,21949
117,U.S. Marshals,MOVIE,1998,PG-13,126,6.5,103263
118,Adventures of Sonic the Hedgehog,SHOW,1993,TV-Y7,22,6.2,3808
119,Wild Things,MOVIE,1998,R,108,6.6,118811
120,Last Action Hero,MOVIE,1993,PG-13,130,6.4,149290
121,Seven Years in Tibet,MOVIE,1997,PG-13,136,7.1,141308
122,The Devil's Advocate,MOVIE,1997,,144,7.5,361422
123,A River Runs Through It,MOVIE,1992,PG,123,7.2,59086
124,"Girl, Interrupted",MOVIE,1999,R,127,7.3,180532
125,Goosebumps,SHOW,1995,TV-PG,22,7.6,13361
126,Yu-Gi-Oh!,SHOW,1998,TV-Y,22,7.2,20888
127,InuYasha,SHOW,2000,TV-14,25,7.9,15823
128,Any Given Sunday,MOVIE,1999,R,162,6.9,118479
129,Menace II Society,MOVIE,1993,R,97,7.5,57399
130,Desperado,MOVIE,1995,R,104,7.1,183638
131,The Mask of Zorro,MOVIE,1998,PG-13,136,6.8,181306
132,The Patriot,MOVIE,2000,R,165,7.2,270231
133,Road Trip,MOVIE,2000,R,93,6.5,167670
134,Free Willy,MOVIE,1993,PG,112,6,75244
135,3 Ninjas Kick Back,MOVIE,1994,PG,93,4.5,9208
136,In the Line of Fire,MOVIE,1993,R,128,7.2,101939
137,The Replacements,MOVIE,2000,PG-13,118,6.6,64087
138,Johnny Mnemonic,MOVIE,1995,R,97,5.6,71062
139,Little Women,MOVIE,1994,PG,115,7.3,57621
140,Anaconda,MOVIE,1997,PG-13,89,4.8,103459
141,My Girl,MOVIE,1991,PG,103,6.9,79800
142,Cliffhanger,MOVIE,1993,R,112,6.5,128179
143,I Know What You Did Last Summer,MOVIE,1997,R,101,5.7,142696
144,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,MOVIE,1991,PG,88,6,55499
145,Barney & Friends,SHOW,1992,TV-G,28,3.8,9955
146,Hollow Man,MOVIE,2000,R,112,5.8,130099
147,Godzilla,MOVIE,1998,PG-13,133,5.4,191722
148,Neon Genesis Evangelion: The End of Evangelion,MOVIE,1997,,87,8,51938
149,Spawn,MOVIE,1997,PG-13,96,5.2,67761
150,Dennis the Menace,MOVIE,1993,PG,95,5.6,60779
151,The Net,MOVIE,1995,PG-13,114,5.9,66127
152,The Devil's Own,MOVIE,1997,R,107,6.2,64625
153,Croupier,MOVIE,1998,R,94,7,21382
154,Teenage Mutant Ninja Turtles III,MOVIE,1993,PG,96,4.7,33128
155,The General's Daughter,MOVIE,1999,R,116,6.4,58726
156,The Next Karate Kid,MOVIE,1994,PG,107,4.5,30138
157,I Still Know What You Did Last Summer,MOVIE,1998,R,100,4.7,73269
158,Double Team,MOVIE,1997,R,93,4.7,34127
159,Under Suspicion,MOVIE,2000,R,110,6.5,25432
160,Moesha,SHOW,1996,TV-PG,21,5.7,3713
161,"Sister, Sister",SHOW,1994,TV-PG,22,6.2,12535
162,Cardcaptor Sakura,SHOW,1998,TV-Y7,25,8,4936
163,Geronimo: An American Legend,MOVIE,1993,PG-13,115,6.5,11506
164,The Mirror Has Two Faces,MOVIE,1996,PG-13,126,6.6,19829
165,Girlfriends,SHOW,2000,TV-PG,21,7.2,4482
166,Knight Rider 2000,MOVIE,1991,G,91,4.5,3178
167,The Last Days,MOVIE,1998,PG-13,87,7.9,4247
168,The Parkers,SHOW,1999,TV-PG,19,6.8,2346
169,Heavy,MOVIE,1995,R,105,6.8,4921
170,Bill Hicks: Revelations,MOVIE,1993,,74,8.5,3085
171,Sankofa,MOVIE,1993,,124,7,678
172,Dale's Supermarket Sweep,SHOW,1993,TV-G,21,7.1,39
173,Jerry Seinfeld: I'm Telling You for the Last Time,MOVIE,1998,G,75,7.9,5834
174,Children of God,MOVIE,1994,,63,6.4,589
175,Wild Tango,MOVIE,1993,R,124,6.7,1564
176,Kuch Kuch Hota Hai,MOVIE,1998,G,185,7.6,51640
177,Oggy and the Cockroaches,SHOW,1999,TV-Y7,9,7.4,4185
178,H,SHOW,1998,TV-MA,25,7.4,1703
179,Herod's Law,MOVIE,1999,R,120,7.8,5943
180,Tim Allen: Rewires America,MOVIE,1991,PG,30,5.9,195
181,Heartbreak High,SHOW,1994,TV-MA,47,7.8,3106
182,Dil Se..,MOVIE,1998,PG-13,163,7.5,28409
183,Aashik Aawara,MOVIE,1993,,153,4.7,320
184,Destiny,MOVIE,1997,,136,7.1,2825
185,Oh Darling! Yeh Hai India!,MOVIE,1995,G,153,4,1678
186,A Triumph of the Heart: The Ricky Bell Story,MOVIE,1991,,100,7.2,248
187,Bombay,MOVIE,1995,,141,8.1,12512
188,West Beirut,MOVIE,1998,PG-13,105,7.6,4175
189,Muthu,MOVIE,1995,G,165,7.6,3056
190,Qila,MOVIE,1998,,160,4.8,129
191,Ram Jaane,MOVIE,1995,,172,5.4,3901
192,Chamatkar,MOVIE,1992,G,171,6.5,6199
193,Soldier,MOVIE,1998,,156,6.2,3025
194,Okupas,SHOW,2000,TV-MA,40,9,2326
195,Hum Saath Saath Hain,MOVIE,1999,G,177,6.2,8454
196,Kabhi Haan Kabhi Naa,MOVIE,1994,G,158,7.6,18224
197,Nightmare in Columbia County,MOVIE,1991,,100,5.5,341
198,Phir Bhi Dil Hai Hindustani,MOVIE,2000,PG-13,160,6.1,7556
199,Jeans,MOVIE,1998,,175,6.4,3567
200,Chaahat,MOVIE,1996,G,155,5.5,2837
201,Hum Aapke Hain Koun..!,MOVIE,1994,,206,7.5,20986
202,Maya Memsaab,MOVIE,1993,PG-13,126,5.4,2177
203,Out of Life,MOVIE,1991,,97,6.9,365
204,Duplicate,MOVIE,1998,PG,165,5.5,7557
205,Govindha Govindha,MOVIE,1993,,145,6.6,351
206,Damini,MOVIE,1993,,180,7.8,3490
207,English Babu Desi Mem,MOVIE,1996,PG,172,4.5,2322
208,Before the Flying Circus,MOVIE,2000,,55,7.3,161
209,Sam Kinison: Live in Vegas,MOVIE,1991,,72,6.6,272
210,Anjaam,MOVIE,1994,,146,6.6,6465
211,Mann,MOVIE,1999,,174,6.1,5413
212,Monty Python: Live at Aspen,MOVIE,1998,,58,7.8,1092
213,Sinbad: Afros and Bellbottoms,MOVIE,1993,PG-13,59,7.8,166
214,The Other,MOVIE,1999,,106,5.9,987
215,Sinbad: Son of a Preacher Man,MOVIE,1996,,56,6.7,115
216,Children of Shatila,MOVIE,1999,,50,8.2,74
217,Gumrah,MOVIE,1993,,149,6.1,784
218,The Emigrant,MOVIE,1994,,129,6.5,998
219,Yodha,MOVIE,1991,,142,4.5,198
220,Avvai Shanmugi,MOVIE,1996,PG-13,160,7.9,2528
221,Minsara Kanavu,MOVIE,1997,G,145,6.7,1212
222,Chronicle of a Disappearance,MOVIE,1996,,88,6.9,718
223,Yaar Gaddar,MOVIE,1994,,147,3.6,142
224,Sinbad: Nothin' but the Funk,MOVIE,1998,,55,6.2,65
225,Dushmani,MOVIE,1995,,156,5,248
226,Fiza,MOVIE,2000,,170,6,4168
227,Hello Brother,MOVIE,1999,,131,4.6,4230
228,Shikari,MOVIE,1991,,162,5.9,66
229,Breaking Bad,SHOW,2008,TV-MA,48,9.5,1727694
230,The Walking Dead,SHOW,2010,TV-MA,46,8.2,945125
231,The Staircase,SHOW,2004,TV-MA,49,7.8,21531
232,Downton Abbey,SHOW,2010,TV-14,58,8.7,197744
233,Grey's Anatomy,SHOW,2005,TV-14,49,7.6,293618
234,The Great British Baking Show,SHOW,2010,TV-PG,57,8.6,9564
235,Criminal Minds,SHOW,2005,TV-14,44,8.1,189191
236,NCIS,SHOW,2003,TV-14,44,7.8,141049
237,Community,SHOW,2009,TV-PG,23,8.5,252564
238,Heartland,SHOW,2007,TV-PG,44,8.4,15743
239,Supernatural,SHOW,2005,TV-14,45,8.5,428639
240,Forgetting Sarah Marshall,MOVIE,2008,R,111,7.1,280121
241,War of the Worlds,MOVIE,2005,PG-13,117,6.5,439027
242,Arrested Development,SHOW,2003,TV-MA,28,8.7,297552
243,The IT Crowd,SHOW,2006,TV-14,25,8.5,147409
244,30 Rock,SHOW,2006,TV-14,25,8.3,121514
245,Avatar: The Last Airbender,SHOW,2005,TV-Y7,24,9.3,297336
246,Inception,MOVIE,2010,PG-13,148,8.8,2268288
247,The Other Guys,MOVIE,2010,,107,6.6,263019
248,How to Train Your Dragon,MOVIE,2010,PG,98,8.1,719717
249,Friday Night Lights,SHOW,2006,TV-14,43,8.7,64449
250,Casino Royale,MOVIE,2006,,139,8,644336
251,Michael Clayton,MOVIE,2007,R,120,7.2,163878
